GeneID,gene_description
DDB_G0286963 (tnlA),belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0290489,predicted to have a signal peptide and an extracellular domain
DDB_G0277053,has similarity to DNA replication regulatory kinase subunit
DDB_G0285675,predicted to have a signal peptide and an extracellular domain
DDB_G0279339,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0268352,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0277153,predicted to have a signal peptide and an extracellular domain
DDB_G0283635,ortholog of human WDR89
DDB_G0286613,ortholog of human PARP4
DDB_G0295691,predicted to have 9 transmembrane regions
DDB_G0281503,has similarity to PANTHER family prespore vesicle-associated protein
DDB_G0282885,ortholog of human RPAP3
DDB_G0276179,predicted to have a signal peptide and an extracellular domain
DDB_G0277557,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0270766,has similarity to PANTHER monoglucosyldiacylglycerol epimerase family
DDB_G0279953,predicted to have a signal peptide and a C-teminal transmembrane domain
DDB_G0284935,predicted to have a signal peptide and an extracellular domain
DDB_G0290265,predicted to have a signal peptide and an extracellular domain
DDB_G0269354,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0274755,contains one predicted amino terminal transmembrane domain and an extracellular domain
DDB_G0268096,has similarity to F-box domain
DDB_G0274987,predicted to have a signal peptide and an extracellular domain
DDB_G0291602,has similarity to panther CBM49 domain-containing protein; predicted to have a signal peptide and an extracellular domain
DDB_G0289757,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0286211,predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0269998,has similarity to a family of proteins possibly involved in intracellular vesicle transport; predicted to have 12 transmembrane domains
DDB_G0270686,predicted to have a signal sequence and extracellular domain
DDB_G0273933,predicted to have a signal peptide and an extracellular domain
DDB_G0286209,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0276275,predicted to have a signal peptide and an extracellular domain
DDB_G0272042,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER Prespore-cell-inducing factor family
DDB_G0276419,ortholog of human ACOT13
DDB_G0277177,ortholog of human METTL25B
DDB_G0274245,predicted to have 4 transmembrane domains
DDB_G0290777,has similarity to B box-type domain-containing protein
DDB_G0274515,has similarity to golvesin-related protein; predicted to have a signal peptide and an extracellular domain
DDB_G0293664,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0269062,ortholog of human TRAPPC13
DDB_G0276393,predicted to have a signal peptide and an extracellular domain; C-terminal region has similarity to the osmotin/thaumatin-like superfamily
DDB_G0277325,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0292740,ortholog of human VWA5A
DDB_G0275413,ortholog of human TMCO4
DDB_G0282483,predicted to have two transmembrane domains
DDB_G0293242,predicted to have a signal peptide and an extracellular domain
DDB_G0282843,has similarity to PANTHER family THH1_TOM1_TOM3 DOMAIN-CONTAINING PROTEIN-RELATED-RELATED; predicted to have 7 transmembrane domains
DDB_G0276861,ortholog of human HGH1
DDB_G0292320,"ortholog of human, mouse UNC50"
DDB_G0283869,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0276277,predicted to have a signal peptide and an extracellular domain
DDB_G0272963,has similarity to SAP domain-containing proteins
DDB_G0285923,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0267756,predicted to have a signal peptide and an extracellular domain
DDB_G0275523,similarity to PANTHER quorum sensing complex regulator family; predicted to have a signal peptide and an extracellular domain
DDB_G0276857,predicted to have 7 transmembrane domains
DDB_G0284765,predicted to have a signal peptide and an extracellular domain
DDB_G0290473,has similarity to PANTHER monoglucosyldiacylglycerol epimerase family
DDB_G0279945,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0289907,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0295849,predicted to have 7 transmembrane domains
DDB_G0286323,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0269296,predicted to have 12 transmembrane domains
DDB_G0285431,predicted to have a signal sequence and an extracellular domain
DDB_G0287483,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0272366,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0268500,has similarity to B box-type domain-containing protein
DDB_G0282123,has similarity to vacuolar import and degradation regulator family protein
DDB_G0292098,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0268564,ortholog of human PXMP4
DDB_G0274171,predicted to have a signal peptide and an extracellular domain
DDB_G0291169,predicted to have a signal peptide and an extracellular domain
DDB_G0285685,has similarity to PANTHER family THH1_TOM1_TOM3 DOMAIN-CONTAINING PROTEIN-RELATED-RELATED; predicted to have 7 transmembrane domains
DDB_G0270300,predicted to have 4 transmembrane domains
DDB_G0281177,ortholog of human tmem208; predicted to have four transmembrane domains
DDB_G0284377,predicted to have 12 transmembrane domains
DDB_G0269004,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0285423,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0277417,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0268494,has similarity to SAP domain-containing proteins
DDB_G0283985,predicted to have 12 transmembrane domains
DDB_G0284223,ortholog of human TMPPE; predicted to have six transmembrane domains
DDB_G0285335,ortholog of human TSEN54
DDB_G0275067,ortholog of human RP9
DDB_G0287667,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0281143,predicted to have 3 transmembrane domains
DDB_G0288781,predicted to have a signal peptide and an extracellular domain; C-terminal region has similarity to the osmotin/thaumatin-like superfamily
DDB_G0285771,predicted to have a signal peptide and an extracellular domain
DDB_G0282059,has similarity to B box-type domain-containing protein
DDB_G0285691,has similarity to PANTHER family THH1_TOM1_TOM3 DOMAIN-CONTAINING PROTEIN-RELATED-RELATED; predicted to have 7 transmembrane domains
DDB_G0274155,predicted to have 6 transmembrane domains
DDB_G0275575,contains one CBM49 (carbohydrate-binding module) domain; predicted to have a signal peptide and an extracellular domain
DDB_G0271202,has similarity to SAP domain-containing proteins
DDB_G0277747,ortholog of human SPRING1
DDB_G0287621,ortholog of yeast YME2; predicted to have one transmembrane domain
DDB_G0268116,"ortholog of human F8A1, F8A2, F8A3"
DDB_G0276735,has similarity to PANTHER family of proteins associated with plant stress responses
DDB_G0279203,predicted to have two C-terminal transmembrane domains
DDB_G0349499,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0281945,predicted to have two transmembrane domains
DDB_G0271592,has similarity to Fe2OG dioxygenase domain-containing proteins
DDB_G0281423,has similarity to B box-type domain-containing protein
DDB_G0287665,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0279577,"predicted to have a signal peptide, an extracellular domain and 7 C-terminal transmembrane domains"
DDB_G0272700,ortholog of human HSPA12A
DDB_G0270292,predicted to have a signal peptide and an extracellular domain
DDB_G0268950,contains one predicted amino terminal transmembrane domain and an extracellular domain
DDB_G0291414,ortholog of human COMMD9
DDB_G0273749,"has similarity to UPF0746, a family predicted to be involved in organization of the actin cytoskeleton"
DDB_G0279485,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0278097,has similarity to PANTHER ARL6IP4 protein family
DDB_G0270112,has similarity to PANTHER family prespore vesicle-associated protein
DDB_G0292680,ortholog of human CCDC93
DDB_G0279155,ortholog of human THUMPD1
DDB_G0289741,has similarity to a family of proteins possibly involved in intracellular vesicle transport; predicted to have 12 transmembrane domains
DDB_G0273077,predicted to have two transmembrane domains
DDB_G0271406,has similarity to SAP domain-containing proteins
DDB_G0272226,has similarity to vacuolar import and degradation regulator family protein
DDB_G0267840,has similarity to PANTHER family prespore vesicle-associated protein
DDB_G0288393,has similarity to B box-type domain-containing protein
DDB_G0287271 (gol),predicted to have one transmembrane domain
DDB_G0289755,ortholog of human RELCH
DDB_G0295675,predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0288051,predicted to have a signal sequence and extracellular domain
DDB_G0270330,predicted to have a signal peptide and an extracellular domain
DDB_G0271216,has similarity to SAP domain-containing proteins
DDB_G0286251,predicted to have a signal peptide and a transmembrane domain
DDB_G0291722,ortholog of human MFSD11; predicted to have 12 transmembrane domains
DDB_G0286759,predicted to have 4 transmembrane domains
DDB_G0275107,predicted to have a signal sequence and an extracellular domain
DDB_G0270528,predicted to have one transmembrane domain
DDB_G0286437,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0272364,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0271412,has similarity to SAP domain-containing proteins
DDB_G0287059,has similarity to B box-type domain-containing protein
DDB_G0284777,"ortholog of human SARAF; predicted to have a signal sequence, an extracellular domain and a transmembrane domain"
DDB_G0286431,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain
DDB_G0275789,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0277531,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0291572,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0285359,predicted to have 4 transmembrane domains
DDB_G0282699,predicted to have a signal peptide and an extracellular domain
DDB_G0292874,ortholog of human PSME3IP1
DDB_G0292410,ortholog of human ZC3H15
DDB_G0295733,ortholog of human ACOT13
DDB_G0273767,predicted to have two transmembrane domains
DDB_G0292466,ortholog of human NOL10
DDB_G0281257,has similarity to B box-type domain-containing protein
DDB_G0292988,"predicted to have a signal peptide, an extracellular domain and 7 C-terminal transmembrane domains"
DDB_G0269482,has similarity to a PANTHER family of proteins involved in immune response modulation
DDB_G0279805,ortholog of human ACTMAP
DDB_G0291492,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0285031,has similarity to mediator complex subunit 12 family
DDB_G0282431,ortholog of human SNUPN
DDB_G0273673,ortholog of human ARB2A
DDB_G0285225,predicted to have 12 transmembrane domains
DDB_G0289201 (mfsd1),ortholog of human MFSD1; predicted to have 12 transmembrane domains
DDB_G0276911,has similarity to PANTHER family THH1_TOM1_TOM3 DOMAIN-CONTAINING PROTEIN-RELATED-RELATED; predicted to have 7 transmembrane domains
DDB_G0277639,has similarity to F-box domain proteins
DDB_G0290521,predicted to have a signal peptide and an extracellular domain
DDB_G0275791,predicted to have 6 transmembrane domains
DDB_G0282421,ortholog of mouse Ap5b1
DDB_G0267878,has similarity to B box-type domain-containing protein
DDB_G0295821,has similarity to a family of proteins possibly involved in intracellular vesicle transport; predicted to have 12 transmembrane domains
DDB_G0286973,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0279955,predicted to have a signal peptide and an extracellular domain
DDB_G0285913,has similarity to B box-type domain-containing protein
DDB_G0285911,has similarity to Rho GTPase-activating proteins
DDB_G0271152,predicted to have one transmembrane domain
DDB_G0281147,predicted to have 3 transmembrane domains
DDB_G0285237,predicted to have a signal peptide and an extracellular domain
DDB_G0278817,ortholog of human B3GNTL1
DDB_G0289515,ortholog of human PIGS; predicted to have two transmembrane domains
DDB_G0281149,predicted to have 3 transmembrane domains
DDB_G0278503,predicted to have a signal peptide and an extracellular domain
DDB_G0288729,ortholog of human RTN4IP1
DDB_G0280271,predicted to have a signal peptide and an extracellular domain
DDB_G0273113,predicted to have a signal peptide and an extracellular domain
DDB_G0271404,has similarity to SAP domain-containing proteins
DDB_G0268626,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0289113,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0270294,predicted to have a signal peptide and an extracellular domain
DDB_G0285665,predicted to have 10 transmembrane domains
DDB_G0284169,predicted to have four transmembrane domains
DDB_G0275245,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0269594,predicted to have 10 transmembrane domains
DDB_G0281377,predicted to have a signal peptide and an extracellular domain
DDB_G0270288,predicted to have a signal peptide and an extracellular domain
DDB_G0281749,ortholog of human GUCD1; contains a guanylyl cyclase domain
DDB_G0283901,"ortholog of human, yeast CWC25"
DDB_G0289891,"ortholog of yeast DLT1; member of NICE-3 family; predicted to have a signal peptide, an extracellular domain and a transmembrane domain"
DDB_G0270720,ortholog of human MFSD6; predicted to have 11 transmembrane domains
DDB_G0268862,predicted to have 12 transmembrane domains
DDB_G0290261,predicted to have a signal peptide and an extracellular domain
DDB_G0269740,predicted to have a signal peptide and an extracellular domain
DDB_G0293720,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0276733,has similarity to a family of proteins involved in regulation of the cAMP signaling pathway; predicted to have 12 transmembrane domains
DDB_G0274533,predicted to have 7 transmembrane domains
DDB_G0279999,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0289575,predicted to have a signal peptide and an extracellular domain
DDB_G0274037,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain
DDB_G0290635,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0289413,predicted to have six transmembrane domains
DDB_G0274679,add to
DDB_G0283403,ortholog of human FERRY3
DDB_G0271808,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0289869,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0271636,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have an extracellular domain and one C-terminal transmembrane domain
DDB_G0277317,predicted to have 4 transmembrane domains
DDB_G0280157,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0278579,ortholog of human DCTN5
DDB_G0286655,has similarity to PANTHER monoglucosyldiacylglycerol epimerase family
DDB_G0286265,predicted to have 4 transmembrane domains
DDB_G0291462,predicted to have 10 transmembrane regions
DDB_G0274429,"predicted to have a signal peptide, an extracellular domain and a C terminal transmembrane domain"
DDB_G0285663,predicted to have 10 transmembrane domains
DDB_G0276309,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0291171,predicted to have a signal peptide and an extracellular domain
DDB_G0283215,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0279775,has similarity to Myb-like domain-containing protein
DDB_G0270774,"predicted to have a signal peptide, an extracellular domain and 7 C-terminal transmembrane domains"
DDB_G0271484,predicted to have 10 transmembrane domains
DDB_G0291289,has similarity to F box proteins
DDB_G0276859,has similarity to PANTHER endotoxin N domain-containing protein family
DDB_G0267620,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0270732,has similarity to SAP domain-containing proteins
DDB_G0288639,ortholog of human DNAJC7
DDB_G0272396,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0268828,has similarity to a family of putative differentiation-associated signaling proteins
DDB_G0289603,has similarity to B box-type domain-containing protein
DDB_G0272370,has similarity to B box-type domain-containing protein
DDB_G0291856,predicted to have a signal peptide and an extracellular domain
DDB_G0272074,predicted to have a signal peptide and an extracellular domain
DDB_G0277575,ortholog of human TMEM234; predicted to have four transmembrane regions
DDB_G0284263,ortholog of human DNAJC11
DDB_G0283041,predicted to have a signal peptide and an extracellular domain
DDB_G0275003,has similarity to SAP domain-containing proteins
DDB_G0302543,ortholog of human CABLES1
DDB_G0284943,ortholog of human MFSD4B; predicted to have twelve transmembrane domains
DDB_G0290373,has similarity to zinc binding domain-containing proteins
DDB_G0272929,ortholog of human IFI27L1 and IFI27L2
DDB_G0291554,predicted to have 15 transmembrane domains
DDB_G0291576,predicted to have a signal sequence and an extracellular domain
DDB_G0277555,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0287167,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0275853,ortholog of human TMEM260; predicted to have 11 transmembrane domains
DDB_G0271434,has similarity to SAP domain-containing proteins
DDB_G0267602,"predicted to have a signal peptide, an extracellular domain and 7 C-terminal transmembrane domains"
DDB_G0277731,"predicted to have a signal peptide, an extracellular domain and a C terminal transmembrane domain"
DDB_G0268446,predicted to have a signal sequence and an extracellular domain
DDB_G0288723,ortholog of human QNG1
DDB_G0281199,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0279817,predicted to have a signal peptide and an extracellular domain
DDB_G0273185,"has similarity to UPF0746, a family predicted to be involved in organization of the actin cytoskeleton"
DDB_G0270202,ortholog of human TSR2
DDB_G0283339,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0280367,ortholog of yeast FIS1
DDB_G0270302,predicted to have 4 transmembrane domains
DDB_G0293724,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0286537,predicted to have a signal peptide and an extracellular domain
DDB_G0289789,has similarity to B box-type domain-containing protein
DDB_G0274919,has similarity to B box-type domain-containing protein
DDB_G0289673,similarity to vacuolar import and degradation regulator family proteins
DDB_G0268230,ortholog of human MFSD6; predicted to have 11 transmembrane domains
DDB_G0290245,has similarity to PANTHER Prespore-cell-inducing factor family
DDB_G0279859,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0279325,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0293216,has similarity to mediator complex subunit 12 family
DDB_G0290627,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain
DDB_G0286267,predicted to have 4 transmembrane domains
DDB_G0276853,predicted to have a signal peptide and an extracellular domain
DDB_G0286329,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0279921,predicted to have a signal peptide and an extracellular domain
DDB_G0277271,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0278315,predicted to have 6 transmembrane domains
DDB_G0291027,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0278691,ortholog of human TANGO6
DDB_G0276039,ortholog of human FYV4
DDB_G0275087,has similarity to PANTHER endotoxin N domain-containing protein family
DDB_G0274825,predicted to have a signal peptide and an extracellular domain
DDB_G0279573,"predicted to have a signal peptide, an extracellular domain and 7 C-terminal transmembrane domains"
DDB_G0277597,contains a predicted amino terminal transmembrane domain and a C-terminal transmembrane and an extracellular domain
DDB_G0267986,has similarity to PANTHER SAP domain-containing protein family
DDB_G0288957,belongs to PANTHER EGF-like domain-containing protein comC family
DDB_G0280123,ortholog of human METTL13
DDB_G0288041,similarity to PANTHER NUCLEAR PORE COMPLEX PROTEIN NUP1
DDB_G0289621,ortholog of S. cerevisiae PHO88; predicted to have 4 transmembrane domains
DDB_G0270708,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0270232,has similarity to golvesin-related protein; predicted to have a signal peptide and an extracellular domain
DDB_G0272925,"ortholog of human ARHGAP23, Rho GTPase-activating protein 23"
DDB_G0271816,has similarity to PANTHER WW domain-binding protein family
DDB_G0275273,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0290465,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0293598,has similarity to B box-type domain-containing protein
DDB_G0287491,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0272450,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0279589,ortholog of yeast YAR1
DDB_G0286061,predicted to have a signal peptide and an extracellular domain
DDB_G0280001,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0270366,predicted to have a signal peptide and an extracellular domain
DDB_G0273237,ortholog of human ARB2A
DDB_G0272432,predicted to have 7 transmembrane domains
DDB_G0283787,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0274393,predicted to have 7 transmembrane domains
DDB_G0292474,has similarity to PANTHER family THH1_TOM1_TOM3 DOMAIN-CONTAINING PROTEIN-RELATED-RELATED; predicted to have 7 transmembrane domains
DDB_G0288635,predicted to have 4 transmembrane domains
DDB_G0291285,ortholog of human CENPI
DDB_G0269084,has similarity to SAP domain-containing proteins
DDB_G0278015,ortholog of human SCAI
DDB_G0269202,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0284721,has similarity to PANTHER family prespore vesicle-associated protein
DDB_G0269032,has similarity to PANTHER family prespore vesicle-associated protein
DDB_G0275497,predicted to have a signal peptide and an extracellular domain
DDB_G0289953,predicted to have one transmembrane domain with a C-terminal extracellular domain
DDB_G0281201,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0283833,similarity to PANTHER quorum sensing complex regulator family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0283149,predicted to have a signal peptide and an extracellular domain
DDB_G0290435,has similarity to SAP domain-containing proteins
DDB_G0269096,predicted to have 6 transmembrane domains
DDB_G0276747,has similarity to PANTHER family of proteins associated with plant stress responses
DDB_G0274707,contains one predicted amino terminal transmembrane domain and an extracellular domain
DDB_G0281103,contains a putative amino terminal transmembrane domain and an extracellular domain
DDB_G0293802,predicted to have signal sequence and a C-terminal transmembrane domain; has similarity to PANTHER kinase related family
DDB_G0280511,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0268180,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0291416,ortholog of human RNASEH2C
DDB_G0273189,transmembrane protein
DDB_G0288317,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0275303,"predicted to have a signal peptide, an extracellular domain and 7 C-terminal transmembrane domains"
DDB_G0289863,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0268412,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain
DDB_G0290915,predicted to have 7 transmembrane domains
DDB_G0286569,predicted to have 3 transmembrane domains
DDB_G0293082,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0267750,has similarity to GATA zinc finger domain-containing protein
DDB_G0295829,predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0283147,similarity to PANTHER family RAD60-SLD DOMAIN-CONTAINING PROTEIN
DDB_G0278693,ortholog of human TANGO6
DDB_G0268092,ortholog of human ZSWIM7
DDB_G0281613,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0275563,has similarity to B box-type domain-containing protein
DDB_G0276631,"ortholog of S. cerevisiae AIM18, altered inheritance of mitochondria protein 18, mitochondrial"
DDB_G0292810,predicted to have a signal sequence and an extracellular domain
DDB_G0267968,has similarity to F-box domain-containing proteins
DDB_G0270224,has similarity to B box-type domain-containing protein; contains two C-terminal transmembrane domains
DDB_G0288687,has similarity to SAP domain-containing proteins
DDB_G0275767,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0283677,ortholog of human TTC1
DDB_G0271254,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0293884,ortholog of human OGFR
DDB_G0274477,predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0282973,predicted to have a signal peptide and an extracellular domain
DDB_G0277423,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0277109,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0286025,predicted to have a signal peptide and an extracellular domain
DDB_G0282635,predicted to have 3 transmembrane domains
DDB_G0347826,has similarity to SAP domain-containing proteins
DDB_G0270308,has similarity to SAP domain-containing proteins
DDB_G0274547,predicted to have 11 transmembrane domains
DDB_G0274541,similarity to PANTHER quorum sensing complex regulator family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0276135,predicted to have 3 transmembrane domains
DDB_G0281187,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0290247,predicted to have 7 transmembrane domains; has similarity to PANTHER ARL6IP4 protein family
DDB_G0280493,has similarity to SAP domain-containing proteins
DDB_G0281193,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0269764 (cnrC),has similarity to golvesin-related proteins; predicted to have a signal peptide and an extracellular domain
DDB_G0288103,"predicted to have a signal sequence, an extracellular domain and a transmembrane domain"
DDB_G0287289,has similarity to mucin-21
DDB_G0271034,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0274973,has similarity to SAP domain-containing proteins
DDB_G0290495,ortholog of human FAM210B
DDB_G0276851,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0274479,predicted to have 4 transmembrane domains
DDB_G0283361,ortholog of human AAR2
DDB_G0290841,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0284913,"predicted to have a signal sequence, extracellular domain and 9 transmembrane domains"
DDB_G0288647,ortholog of human ACAD8
DDB_G0284135,predicted to have 10 transmembrane domains
DDB_G0270050,predicted to have 4 transmembrane domains
DDB_G0272492,"predicted to have a signal peptide, an extracellular domain and a C terminal transmembrane domain"
DDB_G0280551,predicted to have 5 transmembrane domains
DDB_G0272378,predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0273763,has similarity to PANTHER family THH1_TOM1_TOM3 DOMAIN-CONTAINING PROTEIN-RELATED-RELATED; predicted to have 7 transmembrane domains
DDB_G0268824,ortholog of human GTPBP8
DDB_G0285631,predicted to have one transmembrane domain
DDB_G0275321,has similarity to SAP domain-containing proteins
DDB_G0284073,predicted to have a signal peptide and an extracellular domain
DDB_G0291474,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0277939,predicted to have one transmembrane domain
DDB_G0277425,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0278975,predicted to have two transmembrane domains
DDB_G0274427,"predicted to have a signal peptide, an extracellular domain and a C terminal transmembrane domain"
