GeneID,gene_product
DDB_G0286955,J domain-containing protein
DDB_G0273767,"zinc finger, RING-CH-type, domain-containing protein"
DDB_G0292466,nucleolar protein 10
DDB_G0269802,FNIP repeat-containing protein
DDB_G0292988,THH1/TOM1/TOM3 domain-containing protein
DDB_G0290727,FNIP repeat-containing protein
DDB_G0292030,glutathione S-transferase omega-like protein/glutathionyl-hydroquinone reductase YqjG family protein
DDB_G0279805,actin maturation protease
DDB_G0291968,FNIP repeat-containing protein
DDB_G0282165,FNIP repeat-containing protein
DDB_G0267670,ribosome biogenesis protein Nop16 domain-containing protein
DDB_G0282431,snurportin-1
DDB_G0273673,cotranscriptional regulator ARB2A homolog
DDB_G0284173,Fyv7/TAP26 family protein
DDB_G0271802,short-chain dehydrogenase/reductase (SDR) family protein
DDB_G0285225,UNC93-like protein 3 family protein
DDB_G0292892,stress-response A/B barrel domain-containing protein
DDB_G0289201 (mfsd1),lysosomal dipeptide transporter MFSD1
DDB_G0276911,putative transmembrane protein
DDB_G0275791,UbiA prenyltransferase domain-containing protein 1
DDB_G0282421,AP-5 complex subunit beta-1
DDB_G0270262,putative thioesterase
DDB_G0295809,ASCH domain-containing protein
DDB_G0271886,transcription factor 19 family protein
DDB_G0278211,FNIP repeat-containing protein
DDB_G0279955,counting factor associated protein A/B/C-related protein
DDB_G0280069,DUF2185 domain-containing protein
DDB_G0271152,putative transmembrane protein
DDB_G0281147,putative transmembrane protein
DDB_G0271244,FNIP repeat-containing protein
DDB_G0285237,counting factor associated protein A/B/C-related protein
DDB_G0278817,queuosine-tRNA galactosyltransferase ortholog
DDB_G0289515,GPI transamidase component PIG-S
DDB_G0281149,putative transmembrane protein
DDB_G0290513,ankyrin repeat-containing protein
DDB_G0289249,pesticidal crystal family protein
DDB_G0278503,counting factor associated protein A/B/C-related protein
DDB_G0288729,"NAD(P)H oxidoreductase RTN4IP1, mitochondrial"
DDB_G0280271,peptidase C39-like domain-containing protein
DDB_G0273113,counting factor associated protein A/B/C-related protein
DDB_G0290613,FNIP repeat-containing protein
DDB_G0281785,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0289113,EGF-like domain-containing protein
DDB_G0285665,ABC3 transporter permease protein domain-containing protein
DDB_G0293054,FNIP repeat-containing protein
DDB_G0275245,EGF-like domain-containing protein
DDB_G0268220,leucine-rich melanocyte differentiation-associated family protein
DDB_G0273625,tRNA (guanosine(18)-2'-O)-methyltransferase family protein
DDB_G0269594,threonine/serine exporter family protein
DDB_G0274909,FNIP repeat-containing protein
DDB_G0281749,protein GUCD1
DDB_G0283901,pre-mRNA-splicing factor CWC25
DDB_G0289891,defect at low temperature protein 1
DDB_G0279933,FNIP repeat-containing protein
DDB_G0292700,AB hydrolase-1 domain-containing protein
DDB_G0348183,DiGeorge syndrome critical region 6 family protein
DDB_G0270720,major facilitator superfamily domain-containing protein
DDB_G0293720,EGF-like domain-containing protein
DDB_G0276733,HAT repeat-containing protein
DDB_G0275139,FNIP repeat-containing protein
DDB_G0274533,THH1/TOM1/TOM3 domain-containing protein
DDB_G0279999,EGF-like domain-containing protein
DDB_G0289575,pectin lyase fold domain-containing protein
DDB_G0271386,FNIP repeat-containing protein
DDB_G0281523,glucokinase family protein
DDB_G0274037,EGF-like domain-containing protein
DDB_G0288853,FNIP repeat-containing protein
DDB_G0290635,EGF-like domain-containing protein
DDB_G0283289,FNIP repeat-containing protein
DDB_G0289413,transmembrane protein
DDB_G0283403,ferry endosomal RAB5 effector complex subunit 3 ortholog
DDB_G0271808,EGF-like domain-containing protein
DDB_G0289869,EGF-like domain-containing protein
DDB_G0271636,EGF-like domain-containing protein
DDB_G0277317,putative transmembrane protein
DDB_G0280157,EGF-like domain-containing protein
DDB_G0272496,FNIP repeat-containing protein
DDB_G0278579,dynactin subunit 5
DDB_G0286655,putative short-chain dehydrogenase/reductase
DDB_G0286265,putative transmembrane protein
DDB_G0286409,FNIP repeat-containing protein
DDB_G0291462,solute carrier family 35 member F3/F4 family protein
DDB_G0274429,DUF7034 domain-containing protein/DUF7035 domain-containing protein
DDB_G0285663,ABC3 transporter permease protein domain-containing protein
DDB_G0276309,EGF-like domain-containing protein
DDB_G0288303,zinc-ribbon 15 domain-containing protein
DDB_G0271484,EamA domain-containing protein
DDB_G0288235,FNIP repeat-containing protein
DDB_G0281971,FNIP repeat-containing protein
DDB_G0282883,DDE Tnp4 domain-containing protein
DDB_G0291013,TPR repeat-containing protein
DDB_G0269374,DNA-binding domain-containing protein
DDB_G0288639,DnaJ homolog subfamily C member 7
DDB_G0272370,ankyrin repeat-containing protein
DDB_G0283477,ankyrin repeat-containing protein
DDB_G0289023,FNIP repeat-containing protein
DDB_G0287957,putative actin fragmin kinase
DDB_G0289133,B box-type domain-containing protein
DDB_G0279115,MYND-type zinc finger-containing protein
DDB_G0267554,ATPase PAAT-like
DDB_G0267820,required for respiratory growth protein 7 family protein
DDB_G0277575,transmembrane protein 234
DDB_G0291181,tryptophan RNA-binding attenuator protein-like protein
DDB_G0284263,DnaJ homolog subfamily C member 11
DDB_G0283041,counting factor associated protein A/B/C-related protein
DDB_G0268748,putative actin fragmin kinase
DDB_G0288825,leucine-rich melanocyte differentiation-associated family protein
DDB_G0302543,CDK5 and ABL1 enzyme substrate 1 homolog
DDB_G0286363,FAD-binding domain-containing protein
DDB_G0284943,sodium-dependent glucose transporter 1
DDB_G0270646,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0272929,interferon alpha-inducible protein 27-like protein
DDB_G0291576,LEG1 family protein
DDB_G0277555,EGF-like domain-containing protein
DDB_G0282597,armadillo-type fold-containing protein
DDB_G0272793,counting factor associated protein A/B/C-related protein
DDB_G0287167,EGF-like domain-containing protein
DDB_G0275853,protein O-mannosyl-transferase TMEM260
DDB_G0285743,FNIP repeat-containing protein
DDB_G0282515,FNIP repeat-containing protein
DDB_G0277937,UPF0746 domain-containing protein
DDB_G0277731,DUF7034 domain-containing protein/DUF7035 domain-containing protein/ DUF7743 domain-containing protein
DDB_G0288723,queuosine 5'-phosphate N-glycosylase/hydrolase
DDB_G0279817,counting factor associated protein A/B/C-related protein
DDB_G0270202,pre-rRNA-processing protein TSR2 homolog
DDB_G0283339,EGF-like domain-containing protein
DDB_G0280367,mitochondrial fission 1 protein homolog
DDB_G0287085,NAD-dependent epimerase/dehydratase domain-containing protein
DDB_G0270302,putative transmembrane protein
DDB_G0286537,counting factor associated protein A/B/C-related protein
DDB_G0268230,major facilitator superfamily domain-containing protein
DDB_G0279859,EGF-like domain-containing protein
DDB_G0279325,EGF-like domain-containing protein
DDB_G0290627,EGF-like domain-containing protein
DDB_G0286267,putative transmembrane protein
DDB_G0293240,FNIP repeat-containing protein
DDB_G0276853,counting factor associated protein A/B/C-related protein
DDB_G0286329,EGF-like domain-containing protein
DDB_G0278315,RUS family member protein
DDB_G0269180,PH domain-containing protein
DDB_G0293062,GCN5-related N-acetyltransferase
DDB_G0291027,EGF-like domain-containing protein
DDB_G0290507,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0289819,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0278691,transport and Golgi organization protein 6 homolog
DDB_G0276039,small ribosomal subunit protein mS41
DDB_G0279573,THH1/TOM1/TOM3 domain-containing protein
DDB_G0277597,receptor polysaccharide phosphotransferase Stealth family
DDB_G0286795,ankyrin repeat-containing protein
DDB_G0275993,N-acetyltransferase domain-containing protein
DDB_G0288957,EGF-like domain-containing protein
DDB_G0280123,eEF1A lysine and N-terminal methyltransferase homolog
DDB_G0275519,adenylate cyclase-associated CAP C-terminal domain-containing protein
DDB_G0279897,B box-type domain-containing protein
DDB_G0288041,armadillo-type fold-containing protein
DDB_G0289621,SRP-independent targeting protein 3
DDB_G0290043,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0270708,EGF-like domain-containing protein
DDB_G0279523,pesticidal crystal family protein
DDB_G0270232,sulfotransferase domain-containing protein
DDB_G0289795,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0268782,FNIP repeat-containing protein
DDB_G0271816,SIT4 phosphatase-associated domain-containing protein
DDB_G0292590,FNIP repeat-containing protein
DDB_G0274927,TPR repeat-containing protein
DDB_G0285707,ankyrin repeat-containing protein
DDB_G0272450,EGF-like domain-containing protein
DDB_G0279589,ankyrin repeat-containing protein
DDB_G0280001,EGF-like domain-containing protein
DDB_G0288901,FNIP repeat-containing protein
DDB_G0277387,FNIP repeat-containing protein
DDB_G0279609,putative actin fragmin kinase
DDB_G0273237,cotranscriptional regulator ARB2A homolog
DDB_G0272432,THH1/TOM1/TOM3 domain-containing protein
DDB_G0283787,EGF-like domain-containing protein
DDB_G0274393,putative transmembrane protein
DDB_G0292474,putative transmembrane protein
DDB_G0282599,SET domain-containing protein
DDB_G0291285,centromere protein I
DDB_G0278015,protein SCAI ortholog
DDB_G0279209,single-stranded DNA binding protein Ssb-like OB fold domain-containing protein
DDB_G0272809,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0269202,Dickkopf N-terminal cysteine-rich domain-containing protein
DDB_G0289953,glycosyl hydrolase family protein
DDB_G0283833,putative transmembrane protein
DDB_G0276827,FNIP repeat-containing protein
DDB_G0269096,HPP family protein
DDB_G0274707,receptor polysaccharide phosphotransferase Stealth family
DDB_G0281103,receptor polysaccharide phosphotransferase Stealth family
DDB_G0280511,EGF-like domain-containing protein
DDB_G0268180,EGF-like domain-containing protein
DDB_G0291416,putative ribonuclease H2 subunit C
DDB_G0285145,anhydro-N-acetylmuramic acid kinase
DDB_G0289751,FNIP repeat-containing protein
DDB_G0288317,EGF-like domain-containing protein
DDB_G0288821,Smr domain-containing protein
DDB_G0289863,EGF-like domain-containing protein
DDB_G0268412,EGF-like domain-containing protein
DDB_G0290915,THH1/TOM1/TOM3 domain-containing protein
DDB_G0286569,putative transmembrane protein
DDB_G0274631,FNIP repeat-containing protein
DDB_G0295829,EGF-like domain-containing protein
DDB_G0291676,short-chain dehydrogenase/reductase (SDR) family protein
DDB_G0277063,peptidase A2 domain-containing protein
DDB_G0278693,transport and Golgi organization protein 6 homolog
DDB_G0268092,zinc finger SWIM domain-containing protein 7
DDB_G0276631,chalcone isomerase domain-containing protein
DDB_G0281309,LOG family protein
DDB_G0268946,G domain-containing protein
DDB_G0277361,peroxisome biogenesis protein 22 family protein
DDB_G0288827,YLP motif-containing protein
DDB_G0275767,EGF-like domain-containing protein
DDB_G0283093,FNIP repeat-containing protein
DDB_G0270286,FNIP repeat-containing protein
DDB_G0283677,tetratricopeptide repeat protein 1
DDB_G0269090,FNIP repeat-containing protein
DDB_G0271268,N-acetyltransferase domain-containing protein
DDB_G0293884,Opioid growth factor receptor ortholog
DDB_G0274477,putative transmembrane protein
DDB_G0289773,BRO1 domain-containing protein
DDB_G0277109,EGF-like domain-containing protein
DDB_G0282635,putative transmembrane protein
DDB_G0279877,B box-type domain-containing protein
DDB_G0270244,FNIP repeat-containing protein
DDB_G0275893,has similarity to B box-type domain-containing protein
DDB_G0276325,armadillo-like helical domain-containing protein
DDB_G0270022,patellin family protein
DDB_G0274547,major facilitator superfamily protein
DDB_G0274541,putative transmembrane protein
DDB_G0286103,Smr domain-containing protein
DDB_G0269888,haloacid dehalogenase-like hydrolase
DDB_G0279899,B box-type domain-containing protein
DDB_G0277799,TORTIFOLIA1-like protein domain-containing protein
DDB_G0287797,FNIP repeat-containing protein
DDB_G0288103,integrin beta-like protein B
DDB_G0271034,EGF-like domain-containing protein
DDB_G0290495,protein FAM210B
DDB_G0292028,von Willebrand factor A domain-containing protein
DDB_G0276851,EGF-like domain-containing protein
DDB_G0274479,putative transmembrane protein
DDB_G0280583,P-loop containing nucleoside triphosphate hydrolase domain-containing protein
DDB_G0283361,protein AAR2 homolog
DDB_G0290841,EGF-like domain-containing protein
DDB_G0284913,pectin lyase fold domain-containing protein
DDB_G0288647,"isobutyryl-CoA dehydrogenase, mitochondrial"
DDB_G0284135,threonine/serine exporter family protein
DDB_G0270050,putative transmembrane protein
DDB_G0293204,alpha/beta hydrolase fold-1 domain-containing protein
DDB_G0272492,DUF7034 domain-containing protein/DUF7035 domain-containing protein/ DUF7743 domain-containing protein
DDB_G0280551,vitamin K epoxide reductase domain-containing protein
DDB_G0282127,AB hydrolase-1 domain-containing protein
DDB_G0284689,DNA2/NAM7 helicase-like C-terminal domain-containing protein
DDB_G0272378,pectin lyase fold domain-containing protein
DDB_G0273763,putative transmembrane protein
DDB_G0268824,GTP-binding protein 8 ortholog
DDB_G0291474,EGF-like domain-containing protein
DDB_G0285285,S-adenosyl-L-methionine-dependent methyltransferase superfamily domain-containing protein
DDB_G0274427,DUF7034 domain-containing protein/DUF7035 domain-containing protein
DDB_G0285011,"iron-sulfur cluster assembly factor IBA57, mitochondrial"
